Geo Point;Geo Shape;codeunique;nom_long;label;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;idrefliga;idrefligc;res_com;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.88032518555328, 2.3087738359558068;"{""coordinates"": [2.308773835955807, 48.88032518555328], ""type"": ""Point""}";102074.0;Monceau;Monceau;73671.0;Monceau;44146.0;Monceau;A01535;C01372;METRO 2;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;649305.8907999992;6864700.325300001
48.85343696138083, 2.3687365726261693;"{""coordinates"": [2.368736572626169, 48.85343696138083], ""type"": ""Point""}";105071.0;Bastille;Bastille;463564.0;Bastille;42288.0;Bastille;A01534 / A01538 / A01541;C01371 / C01375 / C01378;METRO 1 / METRO 5 / METRO 8;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;653679.5213999972;6861673.730099998
48.85197520840478, 2.4019272845115465;"{""coordinates"": [2.401927284511546, 48.85197520840478], ""type"": ""Point""}";109083.0;Buzenval;Buzenval;479928.0;Buzenval / Avron;42410.0;Buzenval;A01542;C01379;METRO 9;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;656113.6911000013;6861492.237399999
48.89465585741259, 2.382160158371538;"{""coordinates"": [2.382160158371538, 48.89465585741259], ""type"": ""Point""}";107033.0;Corentin Cariou;Corentin Cariou;72031.0;Corentin Cariou;45598.0;Corentin Cariou;A01540;C01377;METRO 7;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;654700.3514999971;6866249.2071
48.88439967614453, 2.3603995008087324;"{""coordinates"": [2.360399500808732, 48.88439967614453], ""type"": ""Point""}";102055.0;La Chapelle;La Chapelle;71434.0;La Chapelle;43524.0;La Chapelle;A01535;C01372;METRO 2;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;653095.6696000025;6865121.477899998
48.86494345241136, 2.3979963883271713;"{""coordinates"": [2.397996388327171, 48.86494345241136], ""type"": ""Point""}";103037.0;Gambetta;Gambetta;71808.0;Gambetta;43055.0;Gambetta;A01536 / A01549;C01373 / C01386;METRO 3 / METRO 3bis;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;1;0;0;0;RATP;0.0;1.0;655836.242899999;6862936.3939
48.85509449355617, 2.3846997601328432;"{""coordinates"": [2.384699760132843, 48.85509449355617], ""type"": ""Point""}";109077.0;Charonne;Charonne;73647.0;Charonne;42560.0;Charonne;A01542;C01379;METRO 9;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;654852.2709999979;6861848.787599999
48.88273813186348, 2.3701223122811053;"{""coordinates"": [2.370122312281105, 48.88273813186348], ""type"": ""Point""}";117039.0;Jaurès;Jaurès;71940.0;Jaurès;43425.0;Jaurès;A01535 / A01538 / A01550;C01372 / C01375 / C01387;METRO 2 / METRO 5 / METRO 7bis;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;653807.191200003;6864930.9923
48.87201346284399, 2.340051785735736;"{""coordinates"": [2.340051785735736, 48.87201346284399], ""type"": ""Point""}";108043.0;Richelieu-Drouot;Richelieu-Drouot;71330.0;Richelieu Drouot;44642.0;Richelieu Drouot;A01541 / A01542;C01378 / C01379;METRO 8 / METRO 9;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;651592.0175999999;6863756.492899999
48.86902652635212, 2.3099353887122915;"{""coordinates"": [2.309935388712292, 48.86902652635212], ""type"": ""Point""}";109049.0;Franklin D. Roosevelt;Franklin D. Roosevelt;71318.0;Franklin D. Roosevelt;43026.0;Franklin D. Roosevelt;A01534 / A01542;C01371 / C01379;METRO 1 / METRO 9;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;649380.0966999978;6863443.2531
